trial	trial_seed	n	t	alpha	message	ok	setup_ms	keygen_ms	preprocess_ms	sign_ms	aggregate_ms	verify_ms	total_ms	preprocess_per_participant_ms_mean	sign_per_participant_ms_mean
1		10	5	5	test	True	33.723	142.671	0.353	0.019	1.742	0.245	145.086	0.070	0.003
2		10	5	5	test	True	33.723	140.268	0.373	0.018	1.731	0.247	142.676	0.074	0.003
3		10	5	5	test	True	33.723	142.403	0.360	0.015	1.744	0.248	144.802	0.071	0.003
4		10	5	5	test	True	33.723	145.944	0.367	0.018	1.742	0.247	148.351	0.072	0.003
5		10	5	5	test	True	33.723	146.344	0.348	0.013	1.696	0.242	148.679	0.069	0.002
6		10	5	5	test	True	33.723	143.674	0.359	0.016	1.749	0.248	146.087	0.071	0.003
7		10	5	5	test	True	33.723	143.312	0.471	0.015	1.709	0.242	145.798	0.093	0.003
8		10	5	5	test	True	33.723	140.954	0.351	0.087	1.739	0.488	143.656	0.070	0.014
9		10	5	5	test	True	33.723	141.058	0.379	0.018	1.776	0.253	143.531	0.075	0.003
10		10	5	5	test	True	33.723	142.209	0.375	0.019	1.925	0.260	144.827	0.074	0.003
11		10	5	5	test	True	33.723	142.209	0.345	0.015	1.708	0.241	144.550	0.068	0.003
12		10	5	5	test	True	33.723	138.325	0.349	0.015	1.889	0.243	140.861	0.069	0.003
13		10	5	5	test	True	33.723	144.503	0.586	0.021	1.968	0.243	147.421	0.116	0.003
14		10	5	5	test	True	33.723	138.691	0.349	0.014	1.702	0.242	141.031	0.069	0.003
15		10	5	5	test	True	33.723	140.696	0.356	0.015	1.738	0.247	143.095	0.071	0.003
16		10	5	5	test	True	33.723	141.627	0.347	0.015	1.702	0.242	143.967	0.069	0.003
17		10	5	5	test	True	33.723	141.242	0.368	0.018	1.728	0.246	143.635	0.073	0.003
18		10	5	5	test	True	33.723	139.188	0.346	0.015	1.704	0.242	141.529	0.068	0.003
19		10	5	5	test	True	33.723	138.250	0.352	0.016	1.702	0.242	140.596	0.070	0.003
20		10	5	5	test	True	33.723	141.899	0.350	0.015	1.704	0.242	144.241	0.069	0.003
21		10	5	5	test	True	33.723	141.322	0.373	0.022	1.919	0.242	143.912	0.073	0.003
22		10	5	5	test	True	33.723	141.972	0.350	0.015	1.702	0.243	144.318	0.069	0.003
23		10	5	5	test	True	33.723	138.002	0.356	0.014	1.694	0.242	140.341	0.070	0.002
24		10	5	5	test	True	33.723	141.545	0.347	0.015	1.696	0.242	143.876	0.069	0.003
25		10	5	5	test	True	33.723	148.824	0.346	0.018	2.118	0.252	151.599	0.069	0.003
26		10	5	5	test	True	33.723	139.468	0.347	0.015	1.704	0.241	141.808	0.069	0.003
27		10	5	5	test	True	33.723	138.219	0.355	0.015	1.700	0.242	140.563	0.070	0.003
28		10	5	5	test	True	33.723	149.267	0.352	0.015	1.694	0.241	151.602	0.070	0.003
29		10	5	5	test	True	33.723	142.114	0.383	0.017	1.893	0.275	144.724	0.076	0.003
30		10	5	5	test	True	33.723	146.480	0.663	0.019	1.922	0.246	149.395	0.132	0.003
