trial	trial_seed	n	t	alpha	message	ok	setup_ms	keygen_ms	preprocess_ms	sign_ms	aggregate_ms	verify_ms	total_ms	preprocess_per_participant_ms_mean	sign_per_participant_ms_mean
1		10	5	5	test	True	38.763	3062.893	100.568	0.031	52.944	17.459	3234.022	20.106	0.005
2		10	5	5	test	True	38.763	3081.365	78.322	0.022	44.320	16.098	3220.180	15.661	0.004
3		10	5	5	test	True	38.763	3196.113	98.374	0.054	53.110	18.393	3366.088	19.669	0.009
4		10	5	5	test	True	38.763	3124.945	79.833	0.024	46.219	25.098	3276.170	15.963	0.004
5		10	5	5	test	True	38.763	3452.728	98.508	0.028	61.653	22.525	3635.484	19.698	0.005
6		10	5	5	test	True	38.763	3232.148	97.321	0.024	49.587	16.353	3395.472	19.461	0.004
7		10	5	5	test	True	38.763	3146.381	90.426	0.024	50.556	16.356	3303.782	18.082	0.004
8		10	5	5	test	True	38.763	3073.446	78.363	0.030	51.480	18.035	3221.444	15.667	0.005
9		10	5	5	test	True	38.763	3087.423	78.100	0.026	48.375	16.188	3230.159	15.614	0.005
10		10	5	5	test	True	38.763	3589.191	89.325	0.073	53.376	17.654	3749.661	17.862	0.012
11		10	5	5	test	True	38.763	3189.854	78.228	0.039	50.046	17.025	3335.232	15.642	0.007
12		10	5	5	test	True	38.763	3407.548	94.285	0.025	48.838	16.366	3567.102	18.854	0.005
13		10	5	5	test	True	38.763	3239.117	92.447	0.041	54.441	17.520	3403.611	18.484	0.007
14		10	5	5	test	True	38.763	3344.589	82.243	0.025	47.610	18.583	3493.098	16.445	0.005
15		10	5	5	test	True	38.763	3270.130	80.277	0.026	47.832	18.955	3417.259	16.052	0.005
16		10	5	5	test	True	38.763	3202.016	92.966	0.032	45.237	18.803	3359.093	18.590	0.006
17		10	5	5	test	True	38.763	3333.447	88.734	0.023	52.828	16.325	3491.406	17.744	0.004
18		10	5	5	test	True	38.763	3144.056	78.009	0.030	44.627	16.016	3282.778	15.598	0.005
19		10	5	5	test	True	38.763	3125.992	85.991	0.023	46.857	17.172	3276.075	17.195	0.004
20		10	5	5	test	True	38.763	3126.828	86.151	0.030	46.118	21.812	3280.981	17.227	0.005
21		10	5	5	test	True	38.763	3205.899	84.822	0.025	46.252	17.614	3354.671	16.961	0.005
22		10	5	5	test	True	38.763	3142.093	78.751	0.024	49.111	15.959	3285.978	15.746	0.004
23		10	5	5	test	True	38.763	3090.214	85.053	0.025	60.748	15.874	3251.957	17.008	0.004
24		10	5	5	test	True	38.763	3205.786	87.742	0.024	48.359	22.473	3364.421	17.546	0.004
25		10	5	5	test	True	38.763	3148.515	77.634	0.028	49.710	16.744	3292.677	15.524	0.005
26		10	5	5	test	True	38.763	3192.527	75.537	0.026	49.135	16.568	3333.833	15.104	0.005
27		10	5	5	test	True	38.763	3091.410	80.317	0.028	56.774	16.482	3245.063	16.061	0.005
28		10	5	5	test	True	38.763	3234.552	87.058	0.027	57.513	16.935	3396.128	17.408	0.005
29		10	5	5	test	True	38.763	3213.458	79.411	0.044	60.516	22.488	3375.971	15.879	0.008
30		10	5	5	test	True	38.763	3440.815	96.465	0.028	61.465	18.850	3617.686	19.290	0.005
