trial	trial_seed	n	t	alpha	message	ok	setup_ms	keygen_ms	preprocess_ms	sign_ms	aggregate_ms	verify_ms	total_ms	preprocess_per_participant_ms_mean	sign_per_participant_ms_mean
1		10	5	5	test	True	40.526	1435.589	39.375	0.026	23.536	7.844	1506.441	7.870	0.004
2		10	5	5	test	True	40.526	1722.608	35.436	0.018	19.036	7.058	1784.216	7.084	0.003
3		10	5	5	test	True	40.526	1486.283	32.706	0.017	19.847	6.866	1545.755	6.540	0.003
4		10	5	5	test	True	40.526	1501.098	38.362	0.021	26.355	8.616	1574.509	7.669	0.004
5		10	5	5	test	True	40.526	1629.821	41.875	0.024	25.194	8.704	1705.696	8.364	0.004
6		10	5	5	test	True	40.526	1522.030	34.910	0.044	21.135	7.505	1585.664	6.979	0.008
7		10	5	5	test	True	40.526	1515.896	49.373	0.018	24.438	7.321	1597.130	9.870	0.003
8		10	5	5	test	True	40.526	1480.461	36.051	0.034	22.406	7.442	1546.437	7.207	0.006
9		10	5	5	test	True	40.526	1715.252	41.569	0.020	20.472	7.984	1785.335	8.312	0.003
10		10	5	5	test	True	40.526	1524.123	38.180	0.020	21.430	8.182	1591.977	7.631	0.003
11		10	5	5	test	True	40.526	1651.632	35.298	0.035	18.545	7.905	1713.492	7.056	0.006
12		10	5	5	test	True	40.526	1467.667	41.010	0.021	21.572	8.666	1538.986	8.198	0.004
13		10	5	5	test	True	40.526	1482.246	81.597	0.021	29.192	8.455	1601.552	16.313	0.004
14		10	5	5	test	True	40.526	1438.987	33.538	0.019	18.458	6.952	1498.002	6.706	0.003
15		10	5	5	test	True	40.526	1417.503	33.177	0.016	19.807	6.556	1477.094	6.634	0.003
16		10	5	5	test	True	40.526	1609.224	43.562	0.019	22.508	7.282	1682.634	8.708	0.003
17		10	5	5	test	True	40.526	1673.669	38.816	0.022	21.505	9.530	1743.606	7.761	0.004
18		10	5	5	test	True	40.526	1718.568	34.957	0.022	20.082	8.651	1782.319	6.986	0.004
19		10	5	5	test	True	40.526	1545.437	52.160	0.018	32.732	6.479	1636.863	10.429	0.003
20		10	5	5	test	True	40.526	1474.812	34.002	0.018	20.827	6.823	1536.522	6.798	0.003
21		10	5	5	test	True	40.526	1463.184	34.400	0.021	20.059	6.815	1524.517	6.877	0.004
22		10	5	5	test	True	40.526	1477.449	35.598	0.016	19.072	7.406	1539.586	7.117	0.003
23		10	5	5	test	True	40.526	1462.318	33.808	0.055	20.704	6.692	1523.616	6.760	0.010
24		10	5	5	test	True	40.526	1518.148	34.401	0.017	20.500	7.682	1580.785	6.875	0.003
25		10	5	5	test	True	40.526	1579.830	35.276	0.020	21.239	9.277	1645.688	7.053	0.003
26		10	5	5	test	True	40.526	1456.378	36.885	0.018	19.432	6.501	1519.251	7.375	0.003
27		10	5	5	test	True	40.526	1832.801	36.231	0.021	27.390	7.288	1903.772	7.244	0.004
28		10	5	5	test	True	40.526	1555.158	37.224	0.019	19.294	7.833	1619.568	7.442	0.003
29		10	5	5	test	True	40.526	1542.547	41.215	0.022	22.074	9.533	1615.437	8.239	0.004
30		10	5	5	test	True	40.526	1502.613	41.185	0.023	26.498	7.892	1578.256	8.234	0.004
