trial	trial_seed	n	t	alpha	message	ok	setup_ms	keygen_ms	preprocess_ms	sign_ms	aggregate_ms	verify_ms	total_ms	preprocess_per_participant_ms_mean	sign_per_participant_ms_mean
1		10	5	5	test	True	39.188	1660.085	56.542	0.025	25.450	7.381	1749.588	11.305	0.004
2		10	5	5	test	True	39.188	1798.889	31.353	0.022	25.681	12.614	1868.602	6.265	0.004
3		10	5	5	test	True	39.188	1800.520	34.449	0.016	21.180	6.963	1863.166	6.886	0.003
4		10	5	5	test	True	39.188	1926.440	32.304	0.026	28.451	10.793	1998.060	6.457	0.004
5		10	5	5	test	True	39.188	1878.398	34.596	0.022	24.972	9.077	1947.108	6.916	0.004
6		10	5	5	test	True	39.188	1751.074	35.570	0.017	23.035	7.183	1816.973	7.111	0.003
7		10	5	5	test	True	39.188	1724.519	33.985	0.017	24.675	7.332	1790.567	6.790	0.003
8		10	5	5	test	True	39.188	1749.644	31.269	0.020	24.003	6.559	1811.534	6.249	0.004
9		10	5	5	test	True	39.188	1717.734	31.283	0.020	21.026	8.426	1778.537	6.254	0.003
10		10	5	5	test	True	39.188	2001.925	33.030	0.018	21.622	8.357	2064.988	6.604	0.003
11		10	5	5	test	True	39.188	2098.648	35.299	0.019	22.169	7.217	2163.394	7.057	0.003
12		10	5	5	test	True	39.188	2065.513	50.430	0.033	40.351	13.041	2169.425	10.083	0.006
13		10	5	5	test	True	39.188	2196.815	37.805	0.042	26.730	8.803	2270.249	7.558	0.007
14		10	5	5	test	True	39.188	1634.691	29.724	0.017	20.794	7.566	1692.824	5.943	0.003
15		10	5	5	test	True	39.188	1552.356	32.662	0.021	22.140	14.913	1622.129	6.531	0.004
16		10	5	5	test	True	39.188	1759.102	34.711	0.017	22.921	7.395	1824.187	6.940	0.003
17		10	5	5	test	True	39.188	1729.282	28.137	0.016	20.610	6.514	1784.605	5.626	0.003
18		10	5	5	test	True	39.188	1681.800	38.454	0.021	33.339	7.815	1761.488	7.688	0.003
19		10	5	5	test	True	39.188	1559.157	29.794	0.017	20.658	7.164	1616.825	5.957	0.003
20		10	5	5	test	True	39.188	1518.948	30.722	0.018	20.556	6.436	1576.717	6.143	0.003
21		10	5	5	test	True	39.188	1623.867	35.144	0.027	24.392	7.991	1691.460	7.026	0.005
22		10	5	5	test	True	39.188	1601.474	29.654	0.017	21.318	8.096	1660.601	5.929	0.003
23		10	5	5	test	True	39.188	1711.914	31.271	0.020	21.283	6.927	1771.451	6.252	0.003
24		10	5	5	test	True	39.188	1879.851	31.347	0.021	24.366	6.918	1942.550	6.267	0.004
25		10	5	5	test	True	39.188	1825.138	37.704	0.017	21.281	6.953	1891.132	7.535	0.003
26		10	5	5	test	True	39.188	1820.277	35.965	0.030	38.351	10.301	1904.989	7.190	0.005
27		10	5	5	test	True	39.188	2074.167	39.227	0.022	26.259	8.378	2148.096	7.842	0.004
28		10	5	5	test	True	39.188	1726.252	30.075	0.018	24.461	7.969	1788.808	6.012	0.003
29		10	5	5	test	True	39.188	1780.926	33.097	0.020	23.723	7.944	1845.748	6.617	0.003
30		10	5	5	test	True	39.188	1638.771	34.840	0.016	23.379	5.985	1703.026	6.967	0.003
