trial	trial_seed	n	t	alpha	message	ok	setup_ms	keygen_ms	preprocess_ms	sign_ms	aggregate_ms	verify_ms	total_ms	preprocess_per_participant_ms_mean	sign_per_participant_ms_mean
1		10	5	5	test	True	38.308	4432.015	94.098	0.022	45.920	18.016	4590.128	18.817	0.004
2		10	5	5	test	True	38.308	4017.656	91.749	0.017	47.866	18.971	4176.308	18.348	0.003
3		10	5	5	test	True	38.308	4127.511	91.771	0.017	47.956	18.701	4285.988	18.353	0.003
4		10	5	5	test	True	38.308	4014.127	92.515	0.017	47.309	18.751	4172.754	18.501	0.003
5		10	5	5	test	True	38.308	4029.063	93.350	0.016	46.136	17.873	4186.472	18.669	0.003
6		10	5	5	test	True	38.308	4034.701	97.679	0.017	48.394	18.495	4199.319	19.532	0.003
7		10	5	5	test	True	38.308	4296.688	89.789	0.018	44.937	18.107	4449.575	17.957	0.003
8		10	5	5	test	True	38.308	4034.908	94.220	0.018	50.406	19.638	4199.229	18.842	0.003
9		10	5	5	test	True	38.308	4062.856	87.743	0.016	44.526	18.732	4213.906	17.548	0.003
10		10	5	5	test	True	38.308	4017.069	93.352	0.054	54.407	19.536	4184.455	18.669	0.010
11		10	5	5	test	True	38.308	4103.753	90.250	0.017	45.646	18.090	4257.792	18.048	0.003
12		10	5	5	test	True	38.308	4034.300	92.507	0.017	47.162	19.418	4193.443	18.500	0.003
13		10	5	5	test	True	38.308	4028.128	94.042	0.017	46.951	20.079	4189.254	18.806	0.003
14		10	5	5	test	True	38.308	4217.226	92.969	0.031	47.436	19.497	4377.192	18.592	0.006
15		10	5	5	test	True	38.308	4029.767	93.293	0.017	46.147	18.746	4188.003	18.657	0.003
16		10	5	5	test	True	38.308	3998.112	93.019	0.017	47.690	19.592	4158.464	18.602	0.003
17		10	5	5	test	True	38.308	4055.498	92.931	0.016	46.647	18.830	4213.976	18.584	0.003
18		10	5	5	test	True	38.308	4025.348	92.373	0.017	47.464	19.733	4184.969	18.473	0.003
19		10	5	5	test	True	38.308	4037.401	90.157	0.017	46.225	18.785	4192.621	18.030	0.003
20		10	5	5	test	True	38.308	4036.423	91.591	0.033	54.280	27.058	4209.425	18.317	0.006
21		10	5	5	test	True	38.308	4090.596	93.900	0.017	47.276	18.988	4250.811	18.779	0.003
22		10	5	5	test	True	38.308	4049.287	92.017	0.018	47.051	19.359	4207.767	18.402	0.003
23		10	5	5	test	True	38.308	4066.241	90.356	0.094	45.321	18.342	4220.392	18.070	0.017
24		10	5	5	test	True	38.308	4090.480	94.364	0.022	48.268	19.930	4253.100	18.871	0.004
25		10	5	5	test	True	38.308	4096.893	91.778	0.016	46.510	17.747	4252.978	18.352	0.003
26		10	5	5	test	True	38.308	4145.201	91.461	0.018	47.532	18.840	4303.085	18.291	0.003
27		10	5	5	test	True	38.308	4054.877	89.449	0.017	45.483	19.565	4209.433	17.889	0.003
28		10	5	5	test	True	38.308	4032.395	93.909	0.018	48.687	19.859	4194.912	18.780	0.003
29		10	5	5	test	True	38.308	4062.036	93.070	0.016	46.474	18.844	4220.473	18.612	0.003
30		10	5	5	test	True	38.308	4055.842	100.815	0.017	52.607	20.865	4230.207	20.162	0.003
